,city,year,standardized_elderlypop,standardized_pop,standardized_medianincome
0,Amarillo,2013,0.949195426,0.988131332,0.936123617
1,Arlington,2013,0.954569834,0.968792732,0.903419646
2,Austin,2013,0.814129815,0.939676377,0.81892611
3,Dallas,2013,0.885605956,0.9559241,0.872552321
4,El Paso,2013,0.930213529,0.990807378,0.909887572
5,Fort Worth,2013,0.794719171,0.923413305,0.883863832
6,Garland,2013,0.915525123,0.988245078,0.886061073
7,Grand Prairie,2013,0.837830682,0.962400805,0.9822836
8,Irving,2013,1.044487782,0.963345072,0.890309567
9,Laredo,2013,0.943642277,0.966056074,0.903391113
10,Lubbock,2013,0.827643016,0.953121122,0.932459793
11,Plano,2013,0.98669183,0.964414774,0.922421559
12,Round Rock,2013,0.761100514,0.903345859,0.977688035
13,Amarillo,2014,1.092621836,1.005990852,0.936087419
14,Arlington,2014,1.01190237,0.978075725,0.914591365
15,Austin,2014,0.963650151,0.968737505,0.864892258
16,Dallas,2014,0.954093068,0.973675577,0.885673672
17,El Paso,2014,0.946095252,0.997544606,0.936743544
18,Fort Worth,2014,0.824012394,0.944765353,0.893390346
19,Garland,2014,1.039330547,0.992047413,0.920509007
20,Grand Prairie,2014,0.830093396,0.973377982,0.945370726
21,Irving,2014,0.988449628,0.979190728,0.8596945
22,Laredo,2014,1.038623726,0.984137265,0.891998022
23,Lubbock,2014,0.913936146,0.970226404,0.931546105
24,Plano,2014,1.021901046,0.979897227,0.95176358
25,Round Rock,2014,0.799399976,0.922764073,0.927950151
26,Amarillo,2015,0.955068738,1.003001706,0.931273048
27,Arlington,2015,0.95982171,0.990633417,0.923224056
28,Austin,2015,0.983752985,0.988946466,0.916611024
29,Dallas,2015,0.9858871,0.988155706,0.930111313
30,El Paso,2015,0.992176024,1.000647316,1.006849858
31,Fort Worth,2015,0.898700539,0.973154136,0.969873672
32,Garland,2015,1.130957674,0.997264571,0.936704677
33,Grand Prairie,2015,1.142649103,0.985662342,0.917580929
34,Irving,2015,0.825130034,0.996902808,0.985017813
35,Laredo,2015,0.931008549,0.992056997,0.926653994
36,Lubbock,2015,0.98474479,0.990948505,0.91223407
37,Plano,2015,0.867121611,1.000026885,0.918358126
38,Round Rock,2015,0.857747811,0.952726189,0.969139336
39,Amarillo,2016,0.940357332,0.993762983,0.985570462
40,Arlington,2016,1.043887472,1.002540253,0.984634655
41,Austin,2016,1.045897631,1.005987496,0.996873727
42,Dallas,2016,1.044048265,1.001730589,0.956319024
43,El Paso,2016,0.991730501,1.003514972,0.983798105
44,Fort Worth,2016,0.996299935,0.995161954,0.959940332
45,Garland,2016,0.960520864,0.987798735,0.989551773
46,Grand Prairie,2016,0.843724788,1.000734305,1.002438482
47,Irving,2016,0.937544456,1.003926129,0.976135865
48,Laredo,2016,1.02858429,1.000585641,0.96054725
49,Lubbock,2016,0.925087332,1.004727428,1.005347149
50,Plano,2016,1.045824473,1.008587896,1.02715035
51,Round Rock,2016,1.102460765,0.991291206,0.890952049
52,Amarillo,2017,0.975713266,1.00755827,1.024266419
53,Arlington,2017,1.051387551,1.011779855,1.05857112
54,Austin,2017,1.062718368,1.008977132,1.025992926
55,Dallas,2017,1.021217825,1.019334612,1.026929385
56,El Paso,2017,1.043231622,1.004242169,1.021342119
57,Fort Worth,2017,1.127114775,1.018605722,1.067783179
58,Garland,2017,0.867665434,1.000511084,1.008318184
59,Grand Prairie,2017,0.808371836,1.017459933,1.046792163
60,Irving,2017,1.068977364,1.012710546,1.073544483
61,Laredo,2017,1.103433263,1.015893762,1.036866662
62,Lubbock,2017,1.082293331,1.010190455,0.982629552
63,Plano,2017,0.980438169,1.005996322,1.046165416
64,Round Rock,2017,0.965977988,1.016228109,1.000253269
65,Amarillo,2018,1.033124353,1.009175925,1.102346101
66,Arlington,2018,0.978711046,1.01615718,1.059857561
67,Austin,2018,1.077841231,1.023335237,1.110611181
68,Dallas,2018,1.017109511,1.022354378,1.094215671
69,El Paso,2018,1.001888357,1.002924399,0.99978488
70,Fort Worth,2018,1.101451941,1.045184162,1.039576562
71,Garland,2018,1.078146711,1.020701779,1.01995997
72,Grand Prairie,2018,1.172638712,1.021596717,0.977948521
73,Irving,2018,0.909673364,1.020542791,1.071917753
74,Laredo,2018,0.928684399,1.006496352,1.030669582
75,Lubbock,2018,1.050410201,1.018140293,1.010455494
76,Plano,2018,1.00092695,1.014645481,0.96099049
77,Round Rock,2018,1.0775087,1.056775248,1.074943361
78,Amarillo,2019,0.997155194,0.991517356,1.001063324
79,Arlington,2019,1.001502707,1.018040834,1.075227137
80,Austin,2019,0.972347674,1.039275716,1.136333597
81,Dallas,2019,1.056095565,1.021205909,1.115384784
82,El Paso,2019,1.079391106,1.001518484,1.05145885
83,Fort Worth,2019,1.175484758,1.062319053,1.086836206
84,Garland,2019,1.02816057,1.008646313,1.120108706
85,Grand Prairie,2019,1.402785327,1.021187239,1.072608529
86,Irving,2019,1.078201867,1.010224787,1.050737722
87,Laredo,2019,1.021820604,1.024170309,1.148700103
88,Lubbock,2019,1.160844533,1.030017303,1.128362734
89,Plano,2019,1.024327677,1.007889758,1.085430294
90,Round Rock,2019,1.383809689,1.097445756,1.055986344
91,Amarillo,2020,1.056763855,1.000861577,1.083269609
92,Arlington,2020,0.99821731,1.013980003,1.08047446
93,Austin,2020,1.079662144,1.025064068,1.129759178
94,Dallas,2020,1.035942709,1.01761913,1.11881383
95,El Paso,2020,1.01527361,0.998800675,1.090135072
96,Fort Worth,2020,1.082216486,1.037396315,1.098735872
97,Garland,2020,0.979693076,1.004785026,1.11878661
98,Grand Prairie,2020,0.961906156,1.017580677,1.054977051
99,Irving,2020,1.147535506,1.013157139,1.092642298
100,Laredo,2020,1.004202893,1.010603598,1.101173274
101,Lubbock,2020,1.055040651,1.02262849,1.096965103
102,Plano,2020,1.072768244,1.018541658,1.087720184
103,Round Rock,2020,1.051994557,1.05942356,1.103087454
